pt_id,pt,pp_broad_cat,color
0,HYD_RES,HYDRO,#3C0C66
1,HYD_ROR,HYDRO,#B57CE5
2,WIN_ONS,VARIABLE,#4C4FFF
3,WIN_OFF,VARIABLE,#00027F
4,SOL_PHO,VARIABLE,#4CEFFF
5,NUC_ELC,CONVDISP,#E5853B
6,GEO_ELC,RENDISP,#00747F
7,WAS_ELC,RENDISP,#20660A
8,BAL_ELC,RENDISP,#3B662E
9,HYD_STO,HYDROSTORAGE,#36384C
10,NEW_STO,NEWSTORAGE,#36314F
11,HCO_LIN,CONVDISP,#FF1F00
12,LIG_LIN,CONVDISP,#59221B
13,GAS_LIN,CONVDISP,#7F5200
14,GAS_NEW,CONVDISP,#7F52FF
15,OIL_LIN,CONVDISP,#634000
16,LOL_LIN,CONVDISP,#5C0063
17,DMND_FLEX,CURTAILMENT,#FFFC00
